state,value
AL,89.20
AK,127.3
AR,88.10
AZ,101.30
CA,142.30
CO,104.20
CT,123.00
DE,107.70
DC,159.00
FL,99.80
GA,89.70
HI,198.60
IA,91.30
ID,93.90
IL,95.00
IN,89.80
KS,86.80
KY,93.60
LA,93.20
ME,116.10
MD,127.20
MA,129.90
MI,90.60
MN,100.70
MO,89.10
MS,84.5
MT,99.30
NC,96.1
ND,96.5
NE,93.00
NH,108.40
NJ,116.80
NM,89.30
NV,108.80
NY,146.60
OH,92.20
OK,87.20
OR,133.7
PA,104.00
RI,119.60
SC,95.80
SD,99.80
TN,89.70
TX,92.00
UT,97.90
VA,101.50
VT,116.40
WA,113.00
WI,96.10
WV,92.70
WY,94.30
